PublishDate,Score,Anti-Score,FinalScore
2017-10-14,0.0,0.0,0.0
2017-10-15,133.0,0.0,133.0
2017-10-16,292.0,0.0,292.0
2017-10-17,321.0,3.0,321.0
2017-10-18,633.0,0.0,633.0
2017-10-19,598.0,0.0,598.0
2017-10-20,532.0,0.0,532.0
2017-10-21,157.0,0.0,157.0
2017-10-22,0.0,0.0,0.0
2017-10-23,362.0,3.0,362.0
2017-10-24,398.0,0.0,398.0
2017-10-25,184.0,0.0,184.0
2017-10-26,72.0,0.0,72.0
2017-10-27,167.0,0.0,167.0
2017-10-28,25.0,0.0,25.0
2017-10-29,-8.0,8.0,-8.0
2017-10-30,772.0,64.0,772.0
2017-10-31,1272.0,6.0,1272.0
2017-11-01,74.0,6.0,74.0
2017-11-02,64.0,0.0,64.0
2017-11-03,390.0,0.0,390.0
2017-11-04,144.0,2.0,144.0
2017-11-05,286.0,0.0,286.0
2017-11-06,257.0,2.0,257.0
2017-11-07,494.0,0.0,494.0
2017-11-08,299.0,14.0,299.0
2017-11-09,35.0,3.0,35.0
2017-11-10,421.0,0.0,421.0
2017-11-11,134.0,0.0,134.0
2017-11-12,-2.0,2.0,-2.0
2017-11-13,212.0,0.0,212.0
2017-11-14,37.0,0.0,37.0
2017-11-15,128.0,6.0,128.0
2017-11-16,190.0,0.0,190.0
2017-11-17,457.0,0.0,457.0
2017-11-18,35.0,0.0,35.0
2017-11-19,0.0,0.0,0.0
2017-11-20,292.0,0.0,292.0
2017-11-21,139.0,2.0,139.0
2017-11-22,416.0,0.0,416.0
2017-11-23,302.0,10.0,302.0
2017-11-24,221.0,0.0,221.0
2017-11-25,0.0,0.0,0.0
2017-11-26,202.0,0.0,202.0
2017-11-27,149.0,14.0,149.0
2017-11-28,7.0,14.0,7.0
2017-11-29,330.0,16.0,330.0
2017-11-30,-408.0,0.0,-408.0
2017-12-01,-44.0,0.0,-44.0
2017-12-02,0.0,0.0,0.0
2017-12-03,-8.0,8.0,-8.0
2017-12-04,224.0,4.0,224.0
2017-12-05,-33.0,0.0,-33.0
2017-12-06,-114.0,0.0,-114.0
2017-12-07,228.0,0.0,228.0
2017-12-08,432.0,0.0,432.0
2017-12-09,321.0,0.0,321.0
2017-12-10,0.0,0.0,0.0
2017-12-11,131.0,0.0,131.0
