PublishDate,Score
2019-05-22,510
2019-05-23,92
2019-05-24,104
2019-05-25,167
2019-05-26,97
2019-05-27,105
2019-05-28,15
2019-05-29,-73
2019-05-30,168
2019-05-31,566
2019-06-01,142
2019-06-02,0
2019-06-03,278
2019-06-04,56
2019-06-05,445
2019-06-06,-25
2019-06-07,7
2019-06-08,17
2019-06-09,15
2019-06-10,370
2019-06-11,1117
2019-06-12,222
2019-06-13,-112
2019-06-14,11
2019-06-15,0
2019-06-16,20
2019-06-17,127
2019-06-18,86
2019-06-19,569
2019-06-20,151
2019-06-21,285
2019-06-22,70
2019-06-23,101
2019-06-24,176
2019-06-25,-13
2019-06-26,-171
2019-06-27,62
2019-06-28,56
2019-06-29,56
2019-06-30,0
2019-07-01,1084
2019-07-02,346
2019-07-03,-178
2019-07-04,303
2019-07-05,53
2019-07-06,0
2019-07-07,84
2019-07-08,132
2019-07-09,-17
2019-07-10,934
2019-07-11,791
2019-07-12,211
2019-07-13,40
2019-07-14,487
2019-07-15,278
2019-07-16,356
2019-07-17,115
2019-07-18,619
2019-07-19,1293
2019-07-20,517
2019-07-21,214
2019-07-22,1015
2019-07-23,801
2019-07-24,558
2019-07-25,12
2019-07-26,335
2019-07-27,0
2019-07-28,0
2019-07-29,428
2019-07-30,228
2019-07-31,0
2019-08-01,-122
2019-08-02,-438
2019-08-03,0
2019-08-04,101
2019-08-05,105
2019-08-06,546
2019-08-07,75
2019-08-08,232
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,422
2019-08-13,15
2019-08-14,397
2019-08-15,-82
2019-08-16,149
2019-08-17,0
2019-08-18,59
2019-08-19,75
2019-08-20,382
2019-08-21,123
2019-08-22,212
2019-08-23,32
2019-08-24,5
2019-08-25,0
2019-08-26,-166
2019-08-27,380
2019-08-28,424
2019-08-29,290
2019-08-30,978
2019-08-31,226
2019-09-01,412
2019-09-02,232
2019-09-03,294
2019-09-04,890
2019-09-05,425
2019-09-06,369
2019-09-07,11
2019-09-08,0
2019-09-09,392
2019-09-10,512
2019-09-11,496
2019-09-12,93
2019-09-13,30
2019-09-14,0
2019-09-15,10
2019-09-16,172
2019-09-17,336
2019-09-18,640
2019-09-19,509
2019-09-20,295
2019-09-21,47
2019-09-22,43
2019-09-23,253
2019-09-24,162
