,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
561,2019-04-23,2330,26251847,7017363629,266.5,268.0,266.0,268.0,2.0,9394
562,2019-04-24,2330,37386755,10044241090,270.0,270.0,267.5,269.0,1.0,9687
563,2019-04-25,2330,36572455,9800038536,268.5,269.0,267.0,267.5,-1.5,7331
564,2019-04-26,2330,51743804,13459329059,262.0,263.0,257.5,260.0,-7.5,16674
565,2019-04-29,2330,32651618,8477117257,260.0,262.0,258.5,259.5,-0.5,10407
566,2019-04-30,2330,40446419,10484399861,260.0,260.5,258.0,259.0,-0.5,10939
567,2019-05-02,2330,27376394,7122135656,261.5,262.5,258.5,259.0,0.0,9110
568,2019-05-03,2330,30200246,7940572444,262.0,265.0,260.5,265.0,6.0,10068
569,2019-05-06,2330,33688187,8717053470,260.0,260.0,258.0,259.0,-6.0,12535
570,2019-05-07,2330,25686126,6719199455,259.5,263.0,259.0,262.5,3.5,8339
571,2019-05-08,2330,25902364,6750083504,260.0,261.5,259.5,260.0,-2.5,7905
572,2019-05-09,2330,34166574,8798140796,259.5,259.5,256.0,256.5,-3.5,10995
573,2019-05-10,2330,18868212,4844594484,257.0,259.0,255.0,256.0,-0.5,8009
574,2019-05-13,2330,29317535,7374249589,253.0,254.0,249.5,250.5,-5.5,11974
575,2019-05-14,2330,45620708,11345067455,247.5,251.0,245.0,248.5,-2.0,14283
576,2019-05-15,2330,37223479,9327051888,251.0,252.0,249.0,249.0,0.5,12041
577,2019-05-16,2330,30331519,7520908612,248.5,249.5,246.0,247.0,-2.0,11402
578,2019-05-17,2330,40006856,9775372898,249.0,249.0,241.5,241.5,-5.5,15217
579,2019-05-20,2330,47097661,11303513908,242.5,243.0,238.0,238.0,-3.5,13099
580,2019-05-21,2330,82872775,19418705158,233.5,236.0,232.5,234.0,-4.0,25418
581,2019-05-22,2330,36289034,8669172710,236.5,240.5,235.5,238.0,4.0,14019
582,2019-05-23,2330,62258627,14379543985,233.5,233.5,230.0,230.0,-8.0,24974
583,2019-05-24,2330,38226789,8866253632,230.0,234.0,230.0,233.0,3.0,14586
584,2019-05-27,2330,37447033,8697538216,234.0,235.0,231.0,231.0,-2.0,13895
585,2019-05-28,2330,99322033,22910765567,232.0,232.0,230.5,230.5,-0.5,10122
586,2019-05-29,2330,32260236,7385029780,228.0,230.5,227.0,229.5,-1.0,10233
