CMDLINE C:\Users\Vivian\anaconda3\python.exe .\package\Step-1_ANN_Two.py
MEM 918.570312 1655278928.7369
MEM 918.570312 1655278928.8466
MEM 918.570312 1655278928.9564
MEM 918.570312 1655278929.0642
MEM 918.570312 1655278929.1738
MEM 918.570312 1655278929.2836
MEM 918.824219 1655278929.3919
MEM 918.824219 1655278929.5017
MEM 918.824219 1655278929.6098
MEM 918.824219 1655278929.7206
MEM 918.824219 1655278929.8300
MEM 919.078125 1655278929.9387
MEM 919.078125 1655278930.0482
MEM 919.078125 1655278930.1566
MEM 919.078125 1655278930.2673
MEM 919.078125 1655278930.3763
MEM 919.078125 1655278930.4855
MEM 919.078125 1655278930.5944
MEM 919.078125 1655278930.7037
MEM 919.078125 1655278930.8121
MEM 919.078125 1655278930.9209
MEM 919.078125 1655278931.0303
MEM 919.078125 1655278931.1386
MEM 919.332031 1655278931.2486
MEM 919.332031 1655278931.3589
MEM 919.332031 1655278931.4682
MEM 919.332031 1655278931.5766
MEM 919.332031 1655278931.6860
MEM 919.332031 1655278931.7958
MEM 919.332031 1655278931.9057
MEM 919.332031 1655278932.0146
MEM 919.332031 1655278932.1228
MEM 919.332031 1655278932.2319
MEM 919.332031 1655278932.3415
MEM 919.585938 1655278932.4511
MEM 919.585938 1655278932.5597
MEM 919.585938 1655278932.6697
MEM 919.585938 1655278932.7779
MEM 919.585938 1655278932.8878
MEM 919.585938 1655278932.9969
MEM 919.585938 1655278933.1049
MEM 919.839844 1655278933.2139
MEM 919.839844 1655278933.3217
MEM 919.839844 1655278933.4295
MEM 919.839844 1655278933.5375
MEM 919.839844 1655278933.6458
MEM 919.839844 1655278933.7545
MEM 919.839844 1655278933.8647
MEM 919.839844 1655278933.9737
MEM 919.839844 1655278934.0832
MEM 919.839844 1655278934.1906
MEM 919.839844 1655278934.2992
MEM 919.839844 1655278934.4093
MEM 919.839844 1655278934.5170
MEM 919.839844 1655278934.6265
MEM 919.839844 1655278934.7358
MEM 919.839844 1655278934.8445
MEM 919.839844 1655278934.9541
MEM 920.093750 1655278935.0635
MEM 920.093750 1655278935.1724
MEM 920.093750 1655278935.2831
MEM 920.347656 1655278935.3909
MEM 920.347656 1655278935.5003
MEM 920.347656 1655278935.6080
MEM 920.347656 1655278935.7173
MEM 920.347656 1655278935.8280
MEM 920.347656 1655278935.9364
MEM 920.347656 1655278936.0460
MEM 920.347656 1655278936.1550
MEM 920.347656 1655278936.2629
MEM 920.347656 1655278936.3715
MEM 920.347656 1655278936.4808
MEM 920.347656 1655278936.5913
MEM 920.347656 1655278936.6998
MEM 920.601562 1655278936.8083
MEM 920.601562 1655278936.9162
MEM 920.601562 1655278937.0246
MEM 920.601562 1655278937.1313
MEM 920.601562 1655278937.2398
MEM 920.855469 1655278937.3489
MEM 920.855469 1655278937.4590
MEM 920.855469 1655278937.5669
MEM 920.855469 1655278937.6768
MEM 920.855469 1655278937.7855
MEM 920.855469 1655278937.8954
MEM 920.855469 1655278938.0055
MEM 920.855469 1655278938.1148
MEM 920.855469 1655278938.2233
MEM 920.855469 1655278938.3325
MEM 920.855469 1655278938.4415
MEM 920.855469 1655278938.5504
MEM 921.363281 1655278938.6592
MEM 921.363281 1655278938.7684
MEM 921.363281 1655278938.8767
MEM 921.363281 1655278938.9844
MEM 921.363281 1655278939.0955
MEM 921.363281 1655278939.2060
MEM 921.363281 1655278939.3176
MEM 921.363281 1655278939.4270
MEM 921.363281 1655278939.5363
MEM 921.363281 1655278939.6460
MEM 921.363281 1655278939.7543
MEM 921.363281 1655278939.8626
MEM 921.617188 1655278939.9719
MEM 921.617188 1655278940.0804
MEM 921.617188 1655278940.1881
MEM 921.617188 1655278940.2958
MEM 921.617188 1655278940.4054
MEM 921.871094 1655278940.5137
MEM 921.871094 1655278940.6230
MEM 921.871094 1655278940.7324
MEM 921.871094 1655278940.8441
MEM 921.871094 1655278940.9520
MEM 921.871094 1655278941.0622
MEM 921.871094 1655278941.1710
MEM 921.871094 1655278941.2810
MEM 921.871094 1655278941.3914
MEM 921.871094 1655278941.5011
MEM 922.125000 1655278941.6107
MEM 922.125000 1655278941.7187
MEM 922.125000 1655278941.8272
MEM 922.125000 1655278941.9341
MEM 922.378906 1655278942.0440
MEM 922.378906 1655278942.1528
MEM 922.378906 1655278942.2613
MEM 922.632812 1655278942.3714
MEM 922.632812 1655278942.4810
MEM 922.632812 1655278942.5912
MEM 922.632812 1655278942.7003
MEM 922.632812 1655278942.8091
MEM 922.632812 1655278942.9175
MEM 922.632812 1655278943.0264
MEM 922.632812 1655278943.1347
MEM 922.632812 1655278943.2434
MEM 922.632812 1655278943.3528
MEM 922.632812 1655278943.4626
MEM 922.632812 1655278943.5727
MEM 922.632812 1655278943.6814
MEM 922.632812 1655278943.7893
MEM 922.632812 1655278943.8978
MEM 922.632812 1655278944.0064
MEM 922.886719 1655278944.1158
MEM 922.886719 1655278944.2262
MEM 922.886719 1655278944.3351
MEM 922.886719 1655278944.4450
MEM 922.886719 1655278944.5538
MEM 922.886719 1655278944.6633
MEM 922.886719 1655278944.7720
MEM 922.886719 1655278944.8837
MEM 922.886719 1655278944.9931
MEM 922.886719 1655278945.1031
MEM 922.886719 1655278945.2119
MEM 922.886719 1655278945.3222
MEM 922.886719 1655278945.4314
MEM 922.886719 1655278945.5417
MEM 922.886719 1655278945.6517
MEM 922.886719 1655278945.7611
MEM 922.886719 1655278945.8707
MEM 923.140625 1655278945.9811
MEM 923.140625 1655278946.0911
MEM 923.140625 1655278946.1993
MEM 923.140625 1655278946.3098
MEM 923.140625 1655278946.4176
MEM 923.140625 1655278946.5244
MEM 923.140625 1655278946.6345
MEM 923.140625 1655278946.7430
MEM 923.140625 1655278946.8530
MEM 923.140625 1655278946.9610
MEM 923.140625 1655278947.0698
MEM 923.140625 1655278947.1796
MEM 923.140625 1655278947.2881
MEM 923.140625 1655278947.3979
